,Year,article_hits
0,2018,471
1,2017,1021
2,2016,2856
3,2015,1486
4,2014,2070
5,2013,2320
6,2012,7835
7,2011,2269
8,2010,1518
9,2009,1572
10,2008,4269
11,2007,1812
12,2006,1454
13,2005,1370
14,2004,2025
15,2003,905
16,2002,750
17,2001,554
18,2000,506
19,1999,180
20,1998,8
21,1997,0
22,1996,1
23,1995,0
24,1994,0
25,1993,0
26,1992,1
27,1991,1
28,1990,0
29,1989,0
30,1988,3
31,1987,1
32,1986,0
33,1985,0
34,1984,2
35,1983,0
36,1982,0
37,1981,0
38,1980,1
39,1979,0
40,1978,0
41,1977,0
42,1976,1
43,1975,0
44,1974,0
45,1973,0
46,1972,1
47,1971,0
48,1970,0
49,1969,0
50,1968,0
51,1967,0
52,1966,0
53,1965,0
54,1964,1
55,1963,0
56,1962,0
57,1961,0
58,1960,0
59,1959,0
60,1958,0
61,1957,0
62,1956,3
63,1955,0
64,1954,0
65,1953,0
66,1952,1
67,1951,0
68,1950,0
69,1949,0
70,1948,3
71,1947,0
72,1946,0
73,1945,0
74,1944,0
75,1943,0
76,1942,0
77,1941,0
78,1940,0
79,1939,0
80,1938,0
81,1937,0
82,1936,3
83,1935,0
84,1934,0
85,1933,0
86,1932,0
87,1931,0
88,1930,0
89,1929,0
90,1928,0
91,1927,0
92,1926,0
93,1925,0
94,1924,0
95,1923,0
96,1922,0
97,1921,0
98,1920,0
99,1919,0
100,1918,0
