City,Country,Continent,Year,Latitude,Longitude
Lillehammer,Norway,Europe,1994,61.115271,10.466231
Atlanta,United States,North America,1996,33.748995,-84.387982
Nagano,Japan,Asia,1998,36.648583,138.194771
Sydney,Australia,Oceania,2000,-33.86882,151.209296
Salt Lake City,United States,North America,2002,40.760779,-111.891047
Athens,Greece,Europe,2004,37.98381,23.727539
Torino,Italy,Europe,2006,39.9042,116.407396
Beijing,China,Asia,2008,39.9042,116.407396
Vancouver,Canada,North America,2010,49.282729,-123.120738
London,United Kingdom,Europe,2012,51.507351,-0.127758
Sochi,Russia,Europe,2014,43.602808,39.734154
Rio de Janeiro,Brazil,South America,2016,-22.906847,-43.172896
Pyeongchang,South Korea,Asia,2018,37.370474,128.389977
Tokyo,Japan,Asia,2020,35.689487,139.691706
Beijing,China,Asia,2022,39.9042,116.407396
Paris,France,Europe,2024,48.856614,2.352222
